Field,P40_score,P40_pct_lesion,P40_adm,P40_score,P40_pct_lesion,P40_adm,P40_score,P40_pct_lesion,P40_adm,P60_score,P60_pct_lesion,P60_adm,P60_score,P60_pct_lesion,P60_adm,P120_score,P120_pct_lesion,P120_adm,P120_score,P120_pct_lesion,P120_adm
0,4,50,,3,75,,2,100,,4,50,,1,100,,,,,,,
1,0,,,0,,,0,,,0,,,1,,A,4,,,4,25,
2,0,,,0,,,0,,,0,,,2,,,4,25,A,2,,
3,0,,,0,,,0,,,0,,,1,,A,6,25,A,1,25,
4,0,,,0,,,0,,,0,,,1,,A,1,,,1,,
5,1,,,0,,,0,,,2,,A,2,,A,2,,A,2,,A
6,1,,,0,,,0,,,3,,,0,,,3,,A,7,25,A
7,0,,,0,,,0,,,2,,A,0,,,1,,,7,,A
8,0,,,0,,,0,,,1,,,1,,A,5,,,1,100,
9,0,,,0,,,0,,,1,,,2,,A,4,,A,1,100,
10,1,,,0,,,0,,,2,,A,0,,,4,,A,1,100,
11,0,,,0,,,0,,,1,,,1,,A,9,50,A,7,25,A
12,0,,,0,,,0,,,3,,A,0,,,8,75,A,5,25,A
13,0,,,0,,,0,,,0,,,0,,,2,,,2,,A
14,0,,,0,,,0,,,3,,A,1,,A,3,25,A,3,50,
15,0,,,0,,,0,,,1,,,2,,A,7,25,A,3,75,A
16,0,,,1,,,0,,,0,,,1,,A,2,,A,4,,A
17,0,,,0,,,1,,A,3,,A,0,,,5,25,A,4,,A
18,0,,,1,,,0,,,3,,,4,,,6,,A,5,25,A
19,2,75,,0,,,0,,,0,,,1,,,4,,A,1,,
20,2,,,0,,,0,,,2,,,2,,,8,,A,4,75,A
21,,,,0,,,1,,,2,,A,2,,A,3,25,A,3,25,A
22,,,,1,,,0,,,0,,,3,,,3,25,A,3,,A
23,,,,0,,,0,,,2,,A,4,,A,1,,A,4,25,A
24,,,,0,,,0,,,0,,,,,,6,50,A,2,,A
25,,,,0,,,0,,,4,,A,,,,4,25,A,1,,
26,,,,0,,,0,,,1,,,,,,5,50,A,,,
27,,,,0,,,0,,,1,,A,,,,5,,A,,,
28,,,,0,,,0,,,,,,,,,2,,A,,,
29,,,,0,,,0,,,,,,,,,6,,A,,,
30,,,,0,,,1,,A,,,,,,,2,25,A,,,
31,,,,0,,,0,,,,,,,,,9,50,A,,,
32,,,,1,,,0,,,,,,,,,5,,A,,,
33,,,,0,,,,,,,,,,,,2,,A,,,
