field,KC_LESION,KC_ADM,MOUSE,KC_LESION,KC_ADM,MOUSE,KC_LESION,KC_ADM,MOUSE,KC_LESION,KC_ADM,MOUSE,KC_LESION,KC_ADM,MOUSE,KC_LESION,KC_ADM,MOUSE,KC_LESION,KC_ADM,MOUSE,KC_LESION,KC_ADM,MOUSE,KC_LESION,KC_ADM,MOUSE,KC_LESION,KC_ADM,MOUSE,KC_LESION,KC_ADM,MOUSE,KC_LESION,KC_ADM,MOUSE,
1,2,A,1,0,,2,2,A,3,1,,4,0,,5,0,,6,0,,7,0,,8,3,,9,0,,10,0,,11,0,,12,
2,2,A,1,0,,2,0,,3,0,,4,1,,5,1,,6,0,,7,0,,8,0,,9,0,,10,0,,11,1,A,12,
3,1,A,1,0,,2,0,,3,0,,4,1,,5,2,,6,0,,7,1,,8,1,,9,1,,10,0,,11,2,A,12,
4,1,,1,0,,2,0,,3,0,,4,0,,5,1,,6,0,,7,0,,8,0,,9,1,,10,0,,11,0,,12,
5,3,A,1,3,,2,0,,3,0,,4,1,,5,0,,6,0,,7,0,,8,0,,9,0,,10,2,,11,0,,12,
6,0,,1,1,,2,0,,3,0,,4,1,,5,0,,6,4,,7,0,,8,2,,9,0,,10,2,,11,0,,12,
7,1,,1,0,,2,0,,3,0,,4,0,,5,1,,6,1,,7,0,,8,0,,9,1,,10,0,,11,0,,12,
8,0,,1,0,,2,0,,3,0,,4,0,,5,2,,6,1,,7,1,,8,0,,9,0,,10,1,,11,0,,12,
9,0,,1,2,,2,1,A,3,0,,4,1,,5,0,,6,0,,7,2,,8,0,,9,0,,10,0,,11,1,,12,
10,1,A,1,1,,2,1,,3,0,,4,1,,5,2,,6,0,,7,0,,8,0,,9,0,,10,1,,11,1,A,12,
11,3,A,1,0,,2,2,,3,0,,4,0,,5,0,,6,1,A,7,0,,8,0,,9,0,,10,2,,11,0,,12,
12,0,,1,0,,2,1,,3,1,,4,1,A,5,0,,6,1,,7,0,,8,0,,9,2,,10,0,,11,0,,12,
13,1,A,1,0,,2,0,,3,1,A,4,,,5,0,,6,3,,7,1,,8,1,,9,2,,10,0,,11,0,,12,
14,0,,1,0,,2,1,,3,0,,4,,,5,1,,6,0,,7,0,,8,0,,9,0,,10,1,,11,0,,12,
15,4,,1,1,,2,0,,3,0,,4,,,5,0,,6,1,,7,0,,8,1,,9,0,,10,1,A,11,1,,12,
16,1,,1,0,,2,0,,3,0,,4,,,5,0,,6,1,,7,0,,8,0,,9,1,,10,0,,11,0,,12,
17,2,A,1,0,,2,0,,3,1,A,4,,,5,1,,6,0,,7,0,,8,0,,9,1,,10,1,,11,2,,12,
18,2,A,1,0,,2,0,,3,0,,4,,,5,0,,6,0,,7,0,,8,0,,9,2,,10,0,,11,0,,12,
19,0,,1,0,,2,1,,3,0,,4,,,5,1,,6,0,,7,1,,8,,,9,1,,10,1,,11,0,,12,
20,3,A,1,0,,2,1,,3,0,,4,,,5,1,,6,0,,7,1,,8,,,9,,,10,1,,11,0,,12,
21,1,A,1,0,,2,1,,3,0,,4,,,5,0,,6,0,,7,0,,8,,,9,,,10,0,A,11,2,,12,
22,3,A,1,0,,2,0,,3,0,,4,,,5,2,,6,1,A,7,0,,8,,,9,,,10,0,,11,1,,12,
23,0,,1,0,,2,1,,3,0,,4,,,5,1,,6,,,7,2,A,8,,,9,,,10,0,,11,0,,12,
24,1,,1,0,,2,0,,3,0,,4,,,5,1,,6,,,7,0,,8,,,9,,,10,1,A,11,,,12,
25,0,,1,0,,2,0,,3,0,,4,,,5,1,,6,,,7,0,,8,,,9,,,10,0,,11,,,12,
26,0,,1,0,,2,0,,3,0,,4,,,5,1,,6,,,7,0,,8,,,9,,,10,1,,11,,,12,
27,0,,1,0,,2,,,3,0,,4,,,5,1,,6,,,7,1,,8,,,9,,,10,0,,11,,,12,
28,,,1,0,,2,,,3,1,,4,,,5,,,6,,,7,,,8,,,9,,,10,0,,11,,,12,
29,,,1,0,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,1,,11,,,12,
30,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,
31,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,
32,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,
33,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,
